iter	Passed	Remaining
704	1458	610
705	1460	608
706	1462	606
707	1463	603
708	1465	601
709	1467	599
710	1469	597
711	1471	595
712	1473	593
713	1475	591
714	1477	588
715	1479	586
716	1480	584
717	1482	582
718	1484	580
719	1486	578
720	1488	576
721	1490	573
722	1492	571
723	1494	569
724	1495	567
725	1497	565
726	1499	562
727	1501	560
728	1503	558
729	1505	556
730	1507	554
731	1508	552
732	1511	550
733	1512	547
734	1514	545
735	1516	543
736	1518	541
737	1520	539
738	1522	537
739	1523	535
740	1524	532
741	1526	530
742	1528	528
743	1530	526
744	1533	524
745	1535	522
746	1537	520
747	1539	518
748	1541	516
749	1542	514
750	1544	511
751	1546	509
752	1548	507
753	1550	505
754	1552	503
755	1554	501
756	1556	499
757	1558	497
758	1560	495
759	1562	493
760	1563	491
761	1565	489
762	1568	487
763	1570	485
764	1572	482
765	1574	480
766	1575	478
767	1577	476
768	1578	474
769	1578	471
770	1580	469
771	1581	466
772	1582	464
773	1583	462
774	1584	459
775	1586	457
776	1588	455
777	1590	453
778	1591	451
779	1594	449
780	1596	447
781	1598	445
782	1600	443
783	1601	441
784	1603	439
785	1605	437
786	1607	435
787	1609	433
788	1611	431
789	1613	428
790	1615	426
791	1617	424
792	1619	422
793	1621	420
794	1623	418
795	1625	416
796	1627	414
797	1629	412
798	1632	410
799	1633	408
800	1635	406
801	1637	404
802	1639	402
803	1641	400
804	1643	398
805	1645	396
806	1647	394
807	1648	391
808	1651	389
809	1653	387
810	1655	385
811	1657	383
812	1659	381
813	1661	379
814	1663	377
815	1664	375
816	1666	373
817	1668	371
818	1670	369
819	1672	367
820	1674	365
821	1676	363
822	1678	361
823	1680	358
824	1682	356
825	1684	354
826	1686	352
827	1688	350
828	1691	348
829	1693	346
830	1694	344
831	1696	342
832	1698	340
833	1700	338
834	1702	336
835	1703	334
836	1705	332
837	1707	330
838	1709	328
839	1712	326
840	1714	324
841	1716	322
842	1717	319
843	1720	317
844	1722	315
845	1724	313
846	1726	311
847	1728	309
848	1730	307
849	1731	305
850	1733	303
851	1735	301
852	1737	299
853	1739	297
854	1742	295
855	1744	293
856	1745	291
857	1747	289
858	1748	287
859	1751	285
860	1753	283
861	1755	281
862	1757	278
863	1759	276
864	1760	274
865	1762	272
866	1763	270
867	1766	268
868	1768	266
869	1770	264
870	1772	262
871	1774	260
872	1776	258
873	1779	256
874	1780	254
875	1783	252
876	1785	250
877	1786	248
878	1788	246
879	1790	244
880	1792	242
881	1794	240
882	1796	238
883	1798	235
884	1800	233
885	1802	231
886	1804	229
887	1805	227
888	1806	225
889	1808	223
890	1809	221
891	1810	219
892	1812	217
893	1814	215
894	1816	213
895	1818	211
896	1820	209
897	1822	206
898	1824	204
899	1826	202
900	1828	200
901	1830	198
902	1832	196
903	1834	194
904	1835	192
905	1837	190
906	1839	188
907	1840	186
908	1843	184
909	1845	182
910	1847	180
911	1848	178
912	1850	176
913	1852	174
914	1854	172
915	1856	170
916	1859	168
917	1861	166
918	1864	164
919	1865	162
920	1868	160
921	1870	158
922	1873	156
923	1876	154
924	1878	152
925	1880	150
926	1882	148
927	1884	146
928	1885	144
929	1886	142
930	1888	139
931	1890	137
932	1892	135
933	1894	133
934	1896	131
935	1898	129
936	1900	127
937	1902	125
938	1904	123
939	1906	121
940	1908	119
941	1909	117
942	1911	115
943	1914	113
944	1915	111
945	1917	109
946	1920	107
947	1922	105
948	1924	103
949	1926	101
950	1927	99
951	1929	97
952	1930	95
953	1932	93
954	1935	91
955	1937	89
956	1938	87
957	1939	85
958	1941	83
959	1942	80
960	1944	78
961	1946	76
962	1948	74
963	1951	72
964	1953	70
965	1954	68
966	1956	66
967	1958	64
968	1960	62
969	1962	60
970	1964	58
971	1966	56
972	1968	54
973	1969	52
974	1971	50
975	1973	48
976	1975	46
977	1977	44
978	1979	42
979	1981	40
980	1984	38
981	1985	36
982	1986	34
983	1987	32
984	1989	30
985	1991	28
986	1993	26
987	1995	24
988	1997	22
989	1998	20
990	1999	18
991	2000	16
992	2001	14
993	2002	12
994	2003	10
995	2004	8
996	2005	6
997	2006	4
998	2007	2
999	2008	0
